,Label,Checkpoint,OriginalLoss,AblatedLoss
0,L5N395,0,11.026307892799377,11.026303157806396
1,L3N669,0,11.026307892799377,11.0261905002594
2,L4N1276,0,11.026307892799377,11.026373744010925
3,L5N1655,0,11.026307892799377,11.026392393112182
4,L5N953,0,11.026307892799377,11.026212124824523
5,L5N444,0,11.026307892799377,11.02631760120392
6,L4N45,0,11.026307892799377,11.026306099891663
7,L5N389,0,11.026307892799377,11.026315927505493
8,L5N1599,0,11.026307892799377,11.026275324821473
9,L5N1336,0,11.026307892799377,11.026294932365417
10,L5N1712,0,11.026307892799377,11.026392812728881
11,L5N148,0,11.026307892799377,11.026415476799011
12,L5N1848,0,11.026307892799377,11.026284742355347
13,L5N1225,0,11.026307892799377,11.026296510696412
14,L5N750,0,11.026307892799377,11.026584887504578
15,L3N1542,0,11.026307892799377,11.026370997428893
16,L5N592,0,11.026307892799377,11.02627525806427
17,L5N1638,0,11.026307892799377,11.026231212615967
18,L5N1272,0,11.026307892799377,11.026263699531555
19,L5N1331,0,11.026307892799377,11.02629647731781
20,L5N322,0,11.026307892799377,11.02629454612732
21,L4N482,0,11.026307892799377,11.026382069587708
22,L4N1970,0,11.026307892799377,11.026360654830933
23,L5N725,0,11.026307892799377,11.026344704627991
24,L4N1271,0,11.026307892799377,11.026430778503418
25,L5N264,0,11.026307892799377,11.02628264427185
26,L5N1541,0,11.026307892799377,11.026454286575317
27,L5N432,0,11.026307892799377,11.026316790580749
28,L4N768,0,11.026307892799377,11.026285753250122
29,L5N1369,0,11.026307892799377,11.026320657730103
30,L4N257,0,11.026307892799377,11.026339921951294
31,L5N1453,0,11.026307892799377,11.026371569633485
32,L5N226,0,11.026307892799377,11.026498618125915
33,L5N1199,0,11.026307892799377,11.02636365890503
34,L5N1693,0,11.026307892799377,11.026293087005616
35,L5N1212,0,11.026307892799377,11.02640845298767
36,L4N571,0,11.026307892799377,11.026319417953491
37,L4N2014,0,11.026307892799377,11.026187553405762
38,L5N1787,0,11.026307892799377,11.026406641006469
39,L5N742,0,11.026307892799377,11.026275014877319
40,L4N189,0,11.026307892799377,11.026322975158692
41,L5N943,0,11.026307892799377,11.026141123771668
42,L3N60,0,11.026307892799377,11.026350827217103
43,L5N1086,0,11.026307892799377,11.026340308189392
44,L4N851,0,11.026307892799377,11.026271119117737
45,L4N779,0,11.026307892799377,11.026303219795228
46,L5N1465,0,11.026307892799377,11.02623332977295
47,L5N1436,0,11.026307892799377,11.026206274032592
48,L5N823,0,11.026307892799377,11.026318502426147
49,L5N938,0,11.026307892799377,11.026406321525574
50,L5N395,10,5.917339577674865,5.917663660049438
51,L3N669,10,5.917339577674865,5.918426287174225
52,L4N1276,10,5.917339577674865,5.920165450572967
53,L5N1655,10,5.917339577674865,5.919035110473633
54,L5N953,10,5.917339577674865,5.9180155897140505
55,L5N444,10,5.917339577674865,5.9171520566940305
56,L4N45,10,5.917339577674865,5.92058164358139
57,L5N389,10,5.917339577674865,5.917705001831055
58,L5N1599,10,5.917339577674865,5.9194149398803715
59,L5N1336,10,5.917339577674865,5.917948033809662
60,L5N1712,10,5.917339577674865,5.917756915092468
61,L5N148,10,5.917339577674865,5.917211124897003
62,L5N1848,10,5.917339577674865,5.917289154529572
63,L5N1225,10,5.917339577674865,5.916825737953186
64,L5N750,10,5.917339577674865,5.918223073482514
65,L3N1542,10,5.917339577674865,5.919119606018066
66,L5N592,10,5.917339577674865,5.917243168354035
67,L5N1638,10,5.917339577674865,5.9171781873703
68,L5N1272,10,5.917339577674865,5.917757370471954
69,L5N1331,10,5.917339577674865,5.9180040097236635
70,L5N322,10,5.917339577674865,5.91718977689743
71,L4N482,10,5.917339577674865,5.917229583263397
72,L4N1970,10,5.917339577674865,5.916979510784149
73,L5N725,10,5.917339577674865,5.916776375770569
74,L4N1271,10,5.917339577674865,5.919177076816559
75,L5N264,10,5.917339577674865,5.9175000715255734
76,L5N1541,10,5.917339577674865,5.9174162912368775
77,L5N432,10,5.917339577674865,5.917412164211274
78,L4N768,10,5.917339577674865,5.9172091078758235
79,L5N1369,10,5.917339577674865,5.916489491462707
80,L4N257,10,5.917339577674865,5.916894629001617
81,L5N1453,10,5.917339577674865,5.917169477939606
82,L5N226,10,5.917339577674865,5.917267606258393
83,L5N1199,10,5.917339577674865,5.9172939419746395
84,L5N1693,10,5.917339577674865,5.918035161495209
85,L5N1212,10,5.917339577674865,5.918005404472351
86,L4N571,10,5.917339577674865,5.918256340026855
87,L4N2014,10,5.917339577674865,5.918289918899536
88,L5N1787,10,5.917339577674865,5.918503849506378
89,L5N742,10,5.917339577674865,5.917705001831055
90,L4N189,10,5.917339577674865,5.918438017368317
91,L5N943,10,5.917339577674865,5.9181446361541745
92,L3N60,10,5.917339577674865,5.91752943277359
93,L5N1086,10,5.917339577674865,5.9173746371269225
94,L4N851,10,5.917339577674865,5.9190576553344725
95,L4N779,10,5.917339577674865,5.918710777759552
96,L5N1465,10,5.917339577674865,5.917479734420777
97,L5N1436,10,5.917339577674865,5.917237761020661
98,L5N823,10,5.917339577674865,5.918849151134491
99,L5N938,10,5.917339577674865,5.917532114982605
100,L5N395,20,3.182973816394806,3.2383866810798647
101,L3N669,20,3.182973816394806,3.196320798397064
102,L4N1276,20,3.182973816394806,3.186771709918976
103,L5N1655,20,3.182973816394806,3.1838625609874724
104,L5N953,20,3.182973816394806,3.184345543384552
105,L5N444,20,3.182973816394806,3.1862420690059663
106,L4N45,20,3.182973816394806,3.1851743233203886
107,L5N389,20,3.182973816394806,3.186863198876381
108,L5N1599,20,3.182973816394806,3.1836661875247954
109,L5N1336,20,3.182973816394806,3.1844266563653947
110,L5N1712,20,3.182973816394806,3.1830616199970247
111,L5N148,20,3.182973816394806,3.183012520670891
112,L5N1848,20,3.182973816394806,3.1838199740648268
113,L5N1225,20,3.182973816394806,3.18437848508358
114,L5N750,20,3.182973816394806,3.183448215126991
115,L3N1542,20,3.182973816394806,3.1851110142469405
116,L5N592,20,3.182973816394806,3.183061944246292
117,L5N1638,20,3.182973816394806,3.1829640156030656
118,L5N1272,20,3.182973816394806,3.1847833859920502
119,L5N1331,20,3.182973816394806,3.184036826491356
120,L5N322,20,3.182973816394806,3.182989302277565
121,L4N482,20,3.182973816394806,3.1893522042036055
122,L4N1970,20,3.182973816394806,3.1829562056064606
123,L5N725,20,3.182973816394806,3.18354992210865
124,L4N1271,20,3.182973816394806,3.1836421024799346
125,L5N264,20,3.182973816394806,3.1841312897205354
126,L5N1541,20,3.182973816394806,3.182745233774185
127,L5N432,20,3.182973816394806,3.184037373661995
128,L4N768,20,3.182973816394806,3.1833336424827574
129,L5N1369,20,3.182973816394806,3.1828868955373766
130,L4N257,20,3.182973816394806,3.183889837861061
131,L5N1453,20,3.182973816394806,3.183457787632942
132,L5N226,20,3.182973816394806,3.1831011146306993
133,L5N1199,20,3.182973816394806,3.183315798640251
134,L5N1693,20,3.182973816394806,3.1867852246761323
135,L5N1212,20,3.182973816394806,3.1834024369716643
136,L4N571,20,3.182973816394806,3.1828592920303347
137,L4N2014,20,3.182973816394806,3.1827640092372893
138,L5N1787,20,3.182973816394806,3.184103512763977
139,L5N742,20,3.182973816394806,3.1831560266017913
140,L4N189,20,3.182973816394806,3.1829923087358476
141,L5N943,20,3.182973816394806,3.1834869772195815
142,L3N60,20,3.182973816394806,3.1844132030010224
143,L5N1086,20,3.182973816394806,3.183105809688568
144,L4N851,20,3.182973816394806,3.1864417135715484
145,L4N779,20,3.182973816394806,3.183666198849678
146,L5N1465,20,3.182973816394806,3.1832127630710603
147,L5N1436,20,3.182973816394806,3.183002943992615
148,L5N823,20,3.182973816394806,3.1858780735731127
149,L5N938,20,3.182973816394806,3.183609629869461
150,L5N395,30,3.107443570494652,3.166881753206253
151,L3N669,30,3.107443570494652,3.158331981897354
152,L4N1276,30,3.107443570494652,3.1117744928598405
153,L5N1655,30,3.107443570494652,3.107386115193367
154,L5N953,30,3.107443570494652,3.108038191795349
155,L5N444,30,3.107443570494652,3.115312759280205
156,L4N45,30,3.107443570494652,3.1122879630327223
157,L5N389,30,3.107443570494652,3.1258332604169845
158,L5N1599,30,3.107443570494652,3.107936552166939
159,L5N1336,30,3.107443570494652,3.11102840423584
160,L5N1712,30,3.107443570494652,3.107509220838547
161,L5N148,30,3.107443570494652,3.107529562115669
162,L5N1848,30,3.107443570494652,3.108441288471222
163,L5N1225,30,3.107443570494652,3.1083444488048553
164,L5N750,30,3.107443570494652,3.107951604127884
165,L3N1542,30,3.107443570494652,3.108825151324272
166,L5N592,30,3.107443570494652,3.1077239483594896
167,L5N1638,30,3.107443570494652,3.1075115257501604
168,L5N1272,30,3.107443570494652,3.109104520082474
169,L5N1331,30,3.107443570494652,3.1073785465955734
170,L5N322,30,3.107443570494652,3.1074594789743424
171,L4N482,30,3.107443570494652,3.1190929508209226
172,L4N1970,30,3.107443570494652,3.1073920542001723
173,L5N725,30,3.107443570494652,3.1076549035310745
174,L4N1271,30,3.107443570494652,3.110688627958298
175,L5N264,30,3.107443570494652,3.108025729060173
176,L5N1541,30,3.107443570494652,3.1075912523269653
177,L5N432,30,3.107443570494652,3.108526398539543
178,L4N768,30,3.107443570494652,3.107602058649063
179,L5N1369,30,3.107443570494652,3.1073197132349013
180,L4N257,30,3.107443570494652,3.1087822967767718
181,L5N1453,30,3.107443570494652,3.10777108669281
182,L5N226,30,3.107443570494652,3.1074043530225754
183,L5N1199,30,3.107443570494652,3.1089565420150755
184,L5N1693,30,3.107443570494652,3.110893392562866
185,L5N1212,30,3.107443570494652,3.1074866777658463
186,L4N571,30,3.107443570494652,3.107394288778305
187,L4N2014,30,3.107443570494652,3.1071934759616853
188,L5N1787,30,3.107443570494652,3.108285886645317
189,L5N742,30,3.107443570494652,3.1076382130384443
190,L4N189,30,3.107443570494652,3.1075771796703338
191,L5N943,30,3.107443570494652,3.1078755301237107
192,L3N60,30,3.107443570494652,3.109942472577095
193,L5N1086,30,3.107443570494652,3.1077162545919417
194,L4N851,30,3.107443570494652,3.1101998633146284
195,L4N779,30,3.107443570494652,3.108806074261665
196,L5N1465,30,3.107443570494652,3.107782638669014
197,L5N1436,30,3.107443570494652,3.1077127301692964
198,L5N823,30,3.107443570494652,3.1074938094615936
199,L5N938,30,3.107443570494652,3.1080670326948168
200,L5N395,40,3.0442751812934876,3.1062658369541167
201,L3N669,40,3.0442751812934876,3.140810087323189
202,L4N1276,40,3.0442751812934876,3.0479697513580324
203,L5N1655,40,3.0442751812934876,3.044146783947945
204,L5N953,40,3.0442751812934876,3.0446924138069154
205,L5N444,40,3.0442751812934876,3.0561420309543608
206,L4N45,40,3.0442751812934876,3.0492367351055147
207,L5N389,40,3.0442751812934876,3.0589993900060652
208,L5N1599,40,3.0442751812934876,3.045457622408867
209,L5N1336,40,3.0442751812934876,3.0503297173976898
210,L5N1712,40,3.0442751812934876,3.0443558156490327
211,L5N148,40,3.0442751812934876,3.0443499141931536
212,L5N1848,40,3.0442751812934876,3.0452722907066345
213,L5N1225,40,3.0442751812934876,3.0456826347112655
214,L5N750,40,3.0442751812934876,3.044551987051964
215,L3N1542,40,3.0442751812934876,3.0458327245712282
216,L5N592,40,3.0442751812934876,3.044342827796936
217,L5N1638,40,3.0442751812934876,3.0443492591381074
218,L5N1272,40,3.0442751812934876,3.047454028725624
219,L5N1331,40,3.0442751812934876,3.0440963369607927
220,L5N322,40,3.0442751812934876,3.0442077785730364
221,L4N482,40,3.0442751812934876,3.053636219501495
222,L4N1970,40,3.0442751812934876,3.0441831398010253
223,L5N725,40,3.0442751812934876,3.0443974977731703
224,L4N1271,40,3.0442751812934876,3.0463376170396805
225,L5N264,40,3.0442751812934876,3.044811707139015
226,L5N1541,40,3.0442751812934876,3.044005576968193
227,L5N432,40,3.0442751812934876,3.044938648939133
228,L4N768,40,3.0442751812934876,3.0447163462638853
229,L5N1369,40,3.0442751812934876,3.0443597733974457
230,L4N257,40,3.0442751812934876,3.04631153523922
231,L5N1453,40,3.0442751812934876,3.0448769867420196
232,L5N226,40,3.0442751812934876,3.044236923456192
233,L5N1199,40,3.0442751812934876,3.04487233877182
234,L5N1693,40,3.0442751812934876,3.0506712651252745
235,L5N1212,40,3.0442751812934876,3.0445160919427874
236,L4N571,40,3.0442751812934876,3.0442380744218824
237,L4N2014,40,3.0442751812934876,3.0440660881996155
238,L5N1787,40,3.0442751812934876,3.0450562953948976
239,L5N742,40,3.0442751812934876,3.04422874212265
240,L4N189,40,3.0442751812934876,3.0443412148952484
241,L5N943,40,3.0442751812934876,3.0445964556932448
242,L3N60,40,3.0442751812934876,3.048542701005936
243,L5N1086,40,3.0442751812934876,3.044513790011406
244,L4N851,40,3.0442751812934876,3.0495157831907274
245,L4N779,40,3.0442751812934876,3.044666953086853
246,L5N1465,40,3.0442751812934876,3.044410516619682
247,L5N1436,40,3.0442751812934876,3.0444734716415405
248,L5N823,40,3.0442751812934876,3.047600294947624
249,L5N938,40,3.0442751812934876,3.044827292561531
250,L5N395,50,3.04232064306736,3.114170405268669
251,L3N669,50,3.04232064306736,3.194806044101715
252,L4N1276,50,3.04232064306736,3.042985950112343
253,L5N1655,50,3.04232064306736,3.042237806916237
254,L5N953,50,3.04232064306736,3.0440357810258867
255,L5N444,50,3.04232064306736,3.052886137962341
256,L4N45,50,3.04232064306736,3.0476454770565033
257,L5N389,50,3.04232064306736,3.053177354335785
258,L5N1599,50,3.04232064306736,3.044573985338211
259,L5N1336,50,3.04232064306736,3.054903730750084
260,L5N1712,50,3.04232064306736,3.042357985973358
261,L5N148,50,3.04232064306736,3.042388762831688
262,L5N1848,50,3.04232064306736,3.0428762382268904
263,L5N1225,50,3.04232064306736,3.0436586040258407
264,L5N750,50,3.04232064306736,3.04271581530571
265,L3N1542,50,3.04232064306736,3.0437423992156982
266,L5N592,50,3.04232064306736,3.04240697324276
267,L5N1638,50,3.04232064306736,3.0424669086933136
268,L5N1272,50,3.04232064306736,3.04601637840271
269,L5N1331,50,3.04232064306736,3.042488240003586
270,L5N322,50,3.04232064306736,3.042340784072876
271,L4N482,50,3.04232064306736,3.0490118795633316
272,L4N1970,50,3.04232064306736,3.04223197221756
273,L5N725,50,3.04232064306736,3.042258759737015
274,L4N1271,50,3.04232064306736,3.044264345765114
275,L5N264,50,3.04232064306736,3.0441898214817047
276,L5N1541,50,3.04232064306736,3.0424557369947434
277,L5N432,50,3.04232064306736,3.0428295224905013
278,L4N768,50,3.04232064306736,3.0426663970947265
279,L5N1369,50,3.04232064306736,3.042305723428726
280,L4N257,50,3.04232064306736,3.0433744847774507
281,L5N1453,50,3.04232064306736,3.0428059005737307
282,L5N226,50,3.04232064306736,3.0421435260772705
283,L5N1199,50,3.04232064306736,3.04248301923275
284,L5N1693,50,3.04232064306736,3.0442126560211182
285,L5N1212,50,3.04232064306736,3.0426855951547624
286,L4N571,50,3.04232064306736,3.0424010413885116
287,L4N2014,50,3.04232064306736,3.041867184638977
288,L5N1787,50,3.04232064306736,3.043212942481041
289,L5N742,50,3.04232064306736,3.042375058531761
290,L4N189,50,3.04232064306736,3.042593924999237
291,L5N943,50,3.04232064306736,3.0433262151479723
292,L3N60,50,3.04232064306736,3.044622969031334
293,L5N1086,50,3.04232064306736,3.0425249838829043
294,L4N851,50,3.04232064306736,3.0493281257152556
295,L4N779,50,3.04232064306736,3.0421686714887617
296,L5N1465,50,3.04232064306736,3.042379540205002
297,L5N1436,50,3.04232064306736,3.0428021651506425
298,L5N823,50,3.04232064306736,3.0451485115289687
299,L5N938,50,3.04232064306736,3.0432836639881136
300,L5N395,60,3.025414209961891,3.0844434928894042
301,L3N669,60,3.025414209961891,3.2130562633275987
302,L4N1276,60,3.025414209961891,3.0252460157871246
303,L5N1655,60,3.025414209961891,3.025524218082428
304,L5N953,60,3.025414209961891,3.0264006841182707
305,L5N444,60,3.025414209961891,3.035883469581604
306,L4N45,60,3.025414209961891,3.0302113133668898
307,L5N389,60,3.025414209961891,3.0357381826639176
308,L5N1599,60,3.025414209961891,3.027562276721001
309,L5N1336,60,3.025414209961891,3.040781795978546
310,L5N1712,60,3.025414209961891,3.0254970359802247
311,L5N148,60,3.025414209961891,3.0256709158420563
312,L5N1848,60,3.025414209961891,3.0263690358400344
313,L5N1225,60,3.025414209961891,3.0264667546749116
314,L5N750,60,3.025414209961891,3.025299048423767
315,L3N1542,60,3.025414209961891,3.026756948232651
316,L5N592,60,3.025414209961891,3.025587375164032
317,L5N1638,60,3.025414209961891,3.0254123610258103
318,L5N1272,60,3.025414209961891,3.028266838788986
319,L5N1331,60,3.025414209961891,3.025618790984154
320,L5N322,60,3.025414209961891,3.0254699486494063
321,L4N482,60,3.025414209961891,3.031635724902153
322,L4N1970,60,3.025414209961891,3.0253241556882857
323,L5N725,60,3.025414209961891,3.025687874555588
324,L4N1271,60,3.025414209961891,3.027905225753784
325,L5N264,60,3.025414209961891,3.0266685408353804
326,L5N1541,60,3.025414209961891,3.025529834628105
327,L5N432,60,3.025414209961891,3.0256848335266113
328,L4N768,60,3.025414209961891,3.026192083954811
329,L5N1369,60,3.025414209961891,3.0253453820943834
330,L4N257,60,3.025414209961891,3.0263667976856232
331,L5N1453,60,3.025414209961891,3.0259500563144686
332,L5N226,60,3.025414209961891,3.0252768522500992
333,L5N1199,60,3.025414209961891,3.025726097822189
334,L5N1693,60,3.025414209961891,3.030141980648041
335,L5N1212,60,3.025414209961891,3.025483868718147
336,L4N571,60,3.025414209961891,3.025433923602104
337,L4N2014,60,3.025414209961891,3.025048408508301
338,L5N1787,60,3.025414209961891,3.0262181121110916
339,L5N742,60,3.025414209961891,3.0254280340671538
340,L4N189,60,3.025414209961891,3.0255620503425598
341,L5N943,60,3.025414209961891,3.0262367755174635
342,L3N60,60,3.025414209961891,3.0274267166852953
343,L5N1086,60,3.025414209961891,3.0257477563619615
344,L4N851,60,3.025414209961891,3.032342176437378
345,L4N779,60,3.025414209961891,3.025889402627945
346,L5N1465,60,3.025414209961891,3.025820045471191
347,L5N1436,60,3.025414209961891,3.025755730867386
348,L5N823,60,3.025414209961891,3.0290579134225846
349,L5N938,60,3.025414209961891,3.0263403028249742
350,L5N395,70,3.0064223420619967,3.0839278399944305
351,L3N669,70,3.0064223420619967,3.214262448549271
352,L4N1276,70,3.0064223420619967,3.0074918484687805
353,L5N1655,70,3.0064223420619967,3.0065514504909516
354,L5N953,70,3.0064223420619967,3.007787453532219
355,L5N444,70,3.0064223420619967,3.014067453145981
356,L4N45,70,3.0064223420619967,3.010377750992775
357,L5N389,70,3.0064223420619967,3.0137396228313444
358,L5N1599,70,3.0064223420619967,3.00807372033596
359,L5N1336,70,3.0064223420619967,3.02834169447422
360,L5N1712,70,3.0064223420619967,3.0066334837675095
361,L5N148,70,3.0064223420619967,3.006518500447273
362,L5N1848,70,3.0064223420619967,3.006936269402504
363,L5N1225,70,3.0064223420619967,3.0076056230068207
364,L5N750,70,3.0064223420619967,3.007110442519188
365,L3N1542,70,3.0064223420619967,3.0078955709934236
366,L5N592,70,3.0064223420619967,3.006539922952652
367,L5N1638,70,3.0064223420619967,3.0064507937431335
368,L5N1272,70,3.0064223420619967,3.008670485019684
369,L5N1331,70,3.0064223420619967,3.006566512584686
370,L5N322,70,3.0064223420619967,3.0063723272085188
371,L4N482,70,3.0064223420619967,3.0200531607866288
372,L4N1970,70,3.0064223420619967,3.006280556321144
373,L5N725,70,3.0064223420619967,3.006289151310921
374,L4N1271,70,3.0064223420619967,3.0088870841264725
375,L5N264,70,3.0064223420619967,3.007942990064621
376,L5N1541,70,3.0064223420619967,3.006413118839264
377,L5N432,70,3.0064223420619967,3.006844626069069
378,L4N768,70,3.0064223420619967,3.0060353767871857
379,L5N1369,70,3.0064223420619967,3.006381754875183
